11:37:40.864462 config: drop-rate=0.20, max-delay=10ms, seed=1
19:45:49.414372 [queue=0] packet #2, 127.0.0.1:56357 -> 127.0.0.1:8080, sz=9 is delivered
19:45:54.406567 [queue=1] packet #2, 127.0.0.1:56357 -> 127.0.0.1:8080, sz=9 is delayed for 2.8ms
19:45:54.410240 [queue=0] packet #2, 127.0.0.1:56357 -> 127.0.0.1:8080, sz=9 is delivered
19:46:46.252740 config: drop-rate=0.20, max-delay=10ms, seed=1
19:46:46.255272 router is listening at :3000
19:47:07.849310 [queue=1] packet #2, 127.0.0.1:59067 -> 127.0.0.1:8080, sz=9 is delayed for 8.7ms
19:47:07.867426 [queue=0] packet #2, 127.0.0.1:59067 -> 127.0.0.1:8080, sz=9 is delivered
19:47:07.867882 [queue=1] packet #3, 127.0.0.1:8080 -> 127.0.0.1:59067, sz=17 is delayed for 5.9ms
19:47:07.874365 [queue=0] packet #3, 127.0.0.1:8080 -> 127.0.0.1:59067, sz=17 is delivered
19:47:07.877528 [queue=1] packet #4, 127.0.0.1:59067 -> 127.0.0.1:8080, sz=17 is delayed for 1.8ms
19:47:07.879863 [queue=0] packet #4, 127.0.0.1:59067 -> 127.0.0.1:8080, sz=17 is delivered
19:54:42.325527 config: drop-rate=0.20, max-delay=10ms, seed=1
19:54:42.326118 router is listening at :3000
19:55:10.221026 [queue=1] packet #2, 127.0.0.1:52192 -> 127.0.0.1:8080, sz=9 is delayed for 8.7ms
19:55:10.237985 [queue=0] packet #2, 127.0.0.1:52192 -> 127.0.0.1:8080, sz=9 is delivered
19:55:15.226895 [queue=1] packet #2, 127.0.0.1:52192 -> 127.0.0.1:8080, sz=9 is delayed for 5.9ms
19:55:15.242398 [queue=0] packet #2, 127.0.0.1:52192 -> 127.0.0.1:8080, sz=9 is delivered
19:55:20.230846 [queue=1] packet #2, 127.0.0.1:52192 -> 127.0.0.1:8080, sz=9 is delayed for 1.8ms
19:55:20.233035 [queue=0] packet #2, 127.0.0.1:52192 -> 127.0.0.1:8080, sz=9 is delivered
19:55:25.232116 [queue=0] packet #2, 127.0.0.1:52192 -> 127.0.0.1:8080, sz=9 is dropped
19:55:30.235219 [queue=0] packet #2, 127.0.0.1:52192 -> 127.0.0.1:8080, sz=9 is dropped
20:00:21.282878 [queue=0] packet #2, 127.0.0.1:60038 -> 127.0.0.1:8080, sz=9 is dropped
20:00:26.284474 [queue=1] packet #2, 127.0.0.1:60038 -> 127.0.0.1:8080, sz=9 is delayed for 9.4ms
20:00:26.294738 [queue=0] packet #2, 127.0.0.1:60038 -> 127.0.0.1:8080, sz=9 is delivered
20:00:31.288841 [queue=1] packet #2, 127.0.0.1:60038 -> 127.0.0.1:8080, sz=9 is delayed for 6.2ms
20:00:31.295265 [queue=0] packet #2, 127.0.0.1:60038 -> 127.0.0.1:8080, sz=9 is delivered
20:00:36.292893 [queue=1] packet #2, 127.0.0.1:60038 -> 127.0.0.1:8080, sz=9 is delayed for 2.8ms
20:00:36.296042 [queue=0] packet #2, 127.0.0.1:60038 -> 127.0.0.1:8080, sz=9 is delivered
20:00:41.297032 [queue=1] packet #2, 127.0.0.1:60038 -> 127.0.0.1:8080, sz=9 is delayed for 1.1ms
20:00:41.298535 [queue=0] packet #2, 127.0.0.1:60038 -> 127.0.0.1:8080, sz=9 is delivered
20:00:46.301645 [queue=1] packet #2, 127.0.0.1:60038 -> 127.0.0.1:8080, sz=9 is delayed for 3.7ms
20:00:46.306421 [queue=0] packet #2, 127.0.0.1:60038 -> 127.0.0.1:8080, sz=9 is delivered
20:14:42.325605 [queue=1] packet #2, 127.0.0.1:55962 -> 127.0.0.1:8080, sz=9 is delayed for 9.5ms
20:14:42.337255 [queue=0] packet #2, 127.0.0.1:55962 -> 127.0.0.1:8080, sz=9 is delivered
20:14:47.330989 [queue=1] packet #2, 127.0.0.1:55962 -> 127.0.0.1:8080, sz=9 is delayed for 2.8ms
20:14:47.344131 [queue=0] packet #2, 127.0.0.1:55962 -> 127.0.0.1:8080, sz=9 is delivered
20:14:52.334494 [queue=1] packet #2, 127.0.0.1:55962 -> 127.0.0.1:8080, sz=9 is delayed for 4.7ms
